ue,freq,act_theta,reduction,score
3.892,0.22,0.43,27.930508650609724,9.1347651170627504
1.507,0.24,0.507,7.5219934610326362,9.2330714752736984
2.312,0.241,0.504,11.897837569519808,9.2057256336181581
3.284,0.284,0.512,16.922996295130943,9.1361453634445926
3.195,0.24,0.545,15.626566867314992,9.1375633232309745
2.737,0.14,0.636,5.4395255998300343,9.1124217930307072
0.877,0.185,0.393,7.0959246892129357,9.2597857137249662
0.47,0.296,0.365,4.2391580254871144,9.2484619813084112
3.519,0.232,0.545,17.091012160665642,9.1054821125767695
2.432,0.232,0.545,12.017839235875442,9.1952762790120168
3.672,0.24,0.43,25.286358637340271,9.1474172262750333
3.195,0.296,0.265,16.133670242141719,9.1415197116154872
1.507,0.001,0.507,4.1758777182999438,9.2069652923631509
3.586,0.24,0.434,25.422946220267804,9.1609666339385853
1.507,0.24,0.43,10.966085631007246,9.2599420640587446
3.892,0.268,0.409,29.807865477896513,9.1494121360213612
3.284,0.296,0.545,15.957345169916152,9.1286114145794386
1.507,0.19,0.434,11.127644573789468,9.2612025366889181
3.892,0.001,0.434,16.340811565165268,9.0443430350867828
0.118,0.296,0.545,0.8466618568421751,9.2261334612550066
3.598,0.135,0.507,17.138574724348842,9.0946083326835776
1.293,0.266,0.589,5.0284352049170877,9.2256008918291048
1.425,0.224,0.393,11.248753458993676,9.2669559005340449
3.925,0.224,0.393,29.41927165418511,9.1412211316421903
1.548,0.084,0.507,7.4533759079076418,9.2300310254739646
3.195,0.162,0.545,15.904143511306344,9.1397289586114816
3.284,0.224,0.545,15.475879895706015,9.1248550530307071
3.686,0.251,0.47,21.326337393633182,9.1144611515620824
0.586,0.14,0.627,1.2374687663560167,9.2225930719893192
0.28,0.224,0.536,1.4957398581734509,9.2299080066755668
2.737,0.14,0.687,0.98997800778816725,9.0777067047797058
3.598,0.24,0.707,1.1822143498068272,8.9701178205340462
3.284,0.244,0.545,15.848328280932165,9.1277608717222964
3.635,0.001,0.43,14.452991962975915,9.0683031662216287
2.737,0.14,0.651,3.7415896322287239,9.0991746042456612
0.907,0.016,0.43,6.5275734524931721,9.25428107340454
